NCTId,Sponsor,Locations
NCT02832544,Population Health Research Institute,"Cardresearch - Cardiologia Assistencial e de Pesquisa, Belo Horizonte, Brazil; Nucleo de Estudios Clinicos - Universidade Federal do Triângulo Mineiro, Uberaba, Brazil; Eurolatino Pesquisas Médicas Ltda, Uberlândia, Brazil; Clínica Procardio Ltda., Blumenau, Brazil; Instituto de Pesquisa Clínica de Campinas, Campinas, Brazil; LOEMA - Instituto de Pesquisa Clínica & Consultores Ltda, Campinas, Brazil; Via Médica Centro Clínico Barroso e Sebba Ltda, Goiânia, Brazil; Instituto de Cardiologia do Rio Grande do Sul, Porto Alegre, Brazil; Fundação Faculdade de Medicina de São José do Rio Preto, São José do Rio Preto, Brazil; Instituto do Coração - HCFMUSP, São Paulo, Brazil; Instituto Dante Pazzanese de Cardiologia, São Paulo, Brazil; Santa Casa de Misericórdia de Votuporanga, Votuporanga, Brazil"
NCT01304732,Grupo de Apoio ao Adolescente e a Crianca com Cancer,"Grupo de Apoio ao Adolescente e a Criança com Cancer, São Paulo, Brazil"
NCT04214171,Faculdade de Ciências Médicas da Santa Casa de São Paulo,"João Barboza, São Paulo, Brazil"
NCT03771898,Shire,"Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil"
NCT03819114,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections,"12101 Instituto de Pesquisa Clinica Evandro Chagas (IPEC) CRS, Rio de Janeiro, Brazil"
NCT02463552,Universidade Federal de Sergipe,"Universidade Federal de Sergipe, Aracaju, Brazil"
NCT00841126,Ineos Healthcare Limited,"Hospital Universitario da Univ Federal de Juiz de Fora, Juiz de Fora, Brazil; Hospital Universitario Pedro Ernesto, Rio de Janeiro, Brazil; Universidade Federal de Sao Paulo - UNIFESP, São Paulo, Brazil; Faculdade de Ciencias Medicas de Sorocaba - Hosp Santa Lucin, Sorocaba, Brazil"
NCT02255708,University of Sao Paulo,"Laboratory of Neuropsychobiology and Motor Behavior,, Ribeirão Preto, Brazil"
NCT03615625,Hospital de Clinicas de Porto Alegre,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT04028817,University of Nove de Julho,"Daysi da Cruz Tobelem, São Paulo, Brazil"
NCT00869817,Washington University School of Medicine,"Hospital das Clinicas da Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT04531202,D'Or Institute for Research and Education,"D'Or Institute for Research and Education (IDOR), Rio de Janeiro, Brazil"
NCT06015737,AstraZeneca,"Research Site, Belo Horizonte, Brazil; Research Site, Belo Horizonte, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Rio de Janeiro, Brazil; Research Site, Salvador, Brazil; Research Site, São Paulo, Brazil"
NCT06988865,Instituto do Cancer do Estado de São Paulo,"Instituto do Cancer do Estado de São Paulo, São Paulo, Brazil"
NCT03909165,Merck Sharp & Dohme LLC,"Hospital Pequeno Principe ( Site 3826), Curitiba, Brazil; Hospital Tacchini ( Site 3827), Bento Gonçalves, Brazil; Instituto da Crianca do Hospital das Clinicas-FMUSP ( Site 3825), São Paulo, Brazil"
NCT03071692,"Kowa Research Institute, Inc.","L2IP - Instituto de Pesquisas Clínicas Ltda., Brasília, Brazil; Hospital do Coração do Brasil, Brasília, Brazil; CECAP - Centro de Cardiologia Clínica, Brasília, Brazil; Hospital Universitário de Brasília, Brasília, Brazil; Clínica de Endocrinologia e Metabologia Ltda., Brasília, Brazil; CARDIOINTERV Centro de Pesquisa S/S, Goiânia, Brazil; Via Médica, Goiânia, Brazil; HC-UFG - Hospital das Clínicas da Universidade Federal de Goiás, Goiânia, Brazil; Hospital Felício Rocho, Belo Horizonte, Brazil; CARDRESEARCH - Cardiologia Assistencial, Belo Horizonte, Brazil; Sociedade Hospitalar Angelina Caron, Campina Grande do Sul, Brazil; Cline Research Center (Leite PS Consultoria Medica LTDA), Curitiba, Brazil; Núcleo de Pesquisa Clínica S/S, Curitiba, Brazil; Paraná Medical Research Center, Maringá, Brazil; HUJBB-UFPA - Hospital Universitário João de Barros Barreto - Universidade Federal do Pará, Belém, Brazil; CCBR Brasil Centro de Pesquisas e Análises Clínicas Ltda., Rio de Janeiro, Brazil; Eurolatino Natal Pesquisas Médicas Ltda., Natal, Brazil; Hospital Universitário, Canoas, Brazil; Hospital São Vicente de Paulo, Passo Fundo, Brazil; Santa Casa de Misericórdia de Pelotas, Pelotas, Brazil; Santa Casa de Misericórdia de Porto Alegre, Porto Alegre, Brazil; Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil; Centro de Pesquisas em Diabetes Ltda., Porto Alegre, Brazil; Centro de Pesquisa Clínica Maimônides - Maimônides Day Hospital, Porto Alegre, Brazil; Centro de Pesquisa Médica Santa Maria Ltda., Santa Maria, Brazil; Maestri e Kormann Consultoria Medico Científica LTDA, Blumenau, Brazil; Loema - Instituto de Pesquisa Clínica, Campinas, Brazil; IPCC - Instituto de Pesquisa Clínica de Campinas, Campinas, Brazil; CEMEC - Centro Multidisciplinar de Estudos Clínicos, São Bernardo do Campo, Brazil; Fundação Faculdade Regional de Medicina de São José do Rio Preto, São José do Rio Preto, Brazil; ISPEM - Instituto São José dos Campos em Pesquisas Médicas, São José dos Campos, Brazil; CPQuali Pesquisa Clínica Ltda., São Paulo, Brazil; CPCLIN - Centro de Pesquisas Clínicas Ltda., São Paulo, Brazil; Clínica Paulista de Doenças Cardiovasculares Ltda., São Paulo, Brazil; Dr. Consulta, São Paulo, Brazil; CEPIC - Centro Paulista de Investigação Clínica e Serviços Médicos, São Paulo, Brazil; Hospital das Clínicas da Faculdade de Medicina da USP, São Paulo, Brazil; Incor - Instituto do Coração - HCFMUSP, São Paulo, Brazil; IMC - Instituto de Moléstias Cardiovasculares Tatuí, Tatuí, Brazil; Santa Casa de Votuporanga, Votuporanga, Brazil"
NCT05563311,University of Nove de Julho,"Luciana Malosa, São Paulo, Brazil"
NCT04524611,AbbVie,"Faculdade de Medicina do ABC /ID# 223231, Santo André, Brazil; Upeclin Fmb - Unesp /Id# 223234, Botucatu, Brazil; Hospital das Clinicas da Faculdade de Medicina de Ribeirao Preto /ID# 223233, Ribeirão Preto, Brazil; Kaiser Clinica e Hospital Dia /ID# 223232, São José do Rio Preto, Brazil"
NCT05515536,PTC Therapeutics,"University of Campinas (UNICAMP) - School of Medical Sciences, Dept of Neurology, São Paulo, Brazil"
NCT01104909,Universidade de Passo Fundo,"Darlan Martins Lara, Carazinho, Brazil"
NCT04320472,Ictal Group,"Universidade Federal de São Paulo, São Paulo, Brazil"
NCT06282575,Jazz Pharmaceuticals,"Liga Norte Riograndense Contra O Cancer, Natal, Brazil; Hospital de Clinicas de Porto Alegre - HCPA, Porto Alegre, Brazil; Irmandade Da Santa Casa de Misericordia de Porto Alegre - ISCMPA, Porto Alegrev, Brazil; Fundação Pio XII Hospital de Amor de Barretos, Barretos, Brazil; Fundação Doutor Amaral Carvalho - Hospital Amaral Carvalho, Jaú, Brazil; Fundação Faculdade Regional de Medicina de São José do Rio Preto (FUNFARME), São José do Rio Preto, Brazil; Hospital Nossa Senhora Da Conceição/Centro Integrado de Pesquisa em Oncologia CIPO-GHC, Porto Alegre, Brazil; Instituto Nacional de Cancer - INCA, Rio de Janeiro, Brazil"
NCT03061812,AbbVie,"Liga Norte Rio Grandense Cont. /ID# 159015, Natal, Brazil; Associação Hospital Beneficente São Vicente de Paulo - Hospital São Vicente de P /ID# 159668, Passo Fundo, Brazil; Fundacao Pio XII - Hospital de Cancer de Barretos /ID# 159017, Barretos, Brazil; Fundacao Faculdade Regional de Medicina de Sao Jose do Rio Preto /ID# 159666, São José do Rio Preto, Brazil; Instituto Nacional de Câncer José de Alencar Gomes da Silva (INCA) /ID# 159665, Rio de Janeiro, Brazil"
NCT04198519,Mario Fritsch Neves,"Hospital Universitario Pedro Ernesto, Rio de Janeiro, Brazil; Rio de Janeiro State University, Rio de Janeiro, Brazil"
NCT06618430,University of Sao Paulo,"University of Sao Paulo, School of Physical Education and Sports of Ribeirao Preto, Ribeirão Preto, Brazil"
NCT04011267,University of Sao Paulo General Hospital,"Universidade de São Paulo, São Paulo, Brazil"
NCT00159900,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,"Pfizer Investigational Site, Belo Horizonte, Brazil; Pfizer Investigational Site, Rio de Janeiro, Brazil; Pfizer Investigational Site, Rio Claro, Brazil; Pfizer Investigational Site, São Paulo, Brazil; Pfizer Investigational Site, São Paulo, Brazil"
NCT06609239,Sanofi,"Proar- Site Number : 0760003, Salvador, Brazil; HC UFG - Hospital Das Clinicas de Goias- Site Number : 0760007, Goiânia, Brazil; Centro de Estudos em Terapias Inovadoras- Site Number : 0760002, Curitiba, Brazil; Hospital Dia do Pulmão- Site Number : 0760005, Blumenau, Brazil; CCBR / IBPClin - Instituto Brasil de Pesquisa Clínica- Site Number : 0760006, Rio de Janeiro, Brazil"
NCT06679439,University of Sao Paulo General Hospital,"University of Sao Paulo General Hospital, São Paulo, Brazil"
NCT02416271,Eli Lilly and Company,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Recife, Brazil; For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., São Paulo, Brazil"
NCT03608839,Universidade Federal de Pernambuco,"State University of Campinas, Campinas, Brazil"
NCT02774967,University of Sao Paulo,"Gabriel F Bastos, Ribeirão Preto, Brazil"
NCT03813407,AstraZeneca,"Research Site, Campinas, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil"
NCT01232634,The Hospital for Sick Children,"Universidade de Sao Paulo, São Paulo, Brazil; Universidade Estaduale de Campinas, São Paulo, Brazil; Universidade Federal de Sao Paulo, São Paulo, Brazil"
NCT02497625,Universidade Cidade de Sao Paulo,"Physical Therapy Outpatient Department, São Paulo, Brazil"
NCT00752440,Instituto de Cardiologia do Rio Grande do Sul,"Institudo de Cardiologia do Rio Grande do Sul, Porto Alegre, Brazil"
NCT04402060,"Apellis Pharmaceuticals, Inc.","Hospital Angelina Caron, Campina Grande do Sul, Brazil; Irmandade da Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Brazil; Hospital São Lucas da PUCRS, Porto Alegre, Brazil; UPECLIN - Unidade de Pesquisa Clínica da Faculdade de Medicina de Botucatu - FMB/UNESP, Botucatu, Brazil; Hospital Estadual Mario Covas, Santo André, Brazil; CEMEC - Centro Multidisciplinar de Estudos Clinicos LTDA EPP, São Bernardo do Campo, Brazil; Hospital Alemao Oswaldo Cruz, São Paulo, Brazil; Hospital Santa Marcelina, São Paulo, Brazil"
NCT03792620,Grupo de Estudos Multicentricos em Onco-Hematologia,"CEHON - Centro de Hematologia e Oncologia da Bahia, Salvador, Brazil"
NCT02296424,Novartis Pharmaceuticals,"Novartis Investigative Site, Curitiba, Brazil; Novartis Investigative Site, Rio de Janeiro, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT06827379,Federal University of Paraíba,"Universidade Federal da Paraíba, João Pessoa, Brazil"
NCT00959361,Hospital de Clinicas de Porto Alegre,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT01168973,Eli Lilly and Company,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Barretos, Brazil; For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Belo Horizonte, Brazil; For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Goiânia, Brazil; For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Porto Alegre, Brazil; For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., São Paulo, Brazil"
NCT04192994,Federal University of São Paulo,"Dept of Ophthalmology - UNIFESP/Hospital São Paulo, São Paulo, Brazil"
NCT07132853,University of Sao Paulo,"Heart Institute, São Paulo, Brazil"
NCT00086372,National Institute of Allergy and Infectious Diseases (NIAID),"Centro de Referencia Estadual de AIDS (CREAIDS), Salvador, Brazil"
NCT05336357,University of Sao Paulo,"Instituto do Coração, São Paulo, Brazil"
NCT00989365,University of Sao Paulo General Hospital,"Clinical Hospital, School of Medicine, University of São Paulo, São Paulo, Brazil"
NCT06252467,"Marco Aurélio Vaz, PhD","Marco Aurélio Vaz, Porto Alegre, Brazil"
NCT05651711,Amgen,"CETI - Centro de Estudo em Terapias Inovadoras, Curitiba, Brazil; Centro Multidisciplinar de Estudos Clinicos - CEMEC, São Bernardo do Campo, Brazil; ISPEM - Instituto São José dos Campos em Pesquisas Médicas, São José dos Campos, Brazil"
NCT01747395,University of Sao Paulo General Hospital,"Instituto do Coração - HC/FMUSP, São Paulo, Brazil"
NCT01547377,Universidade Federal do Rio Grande do Norte,"Onofre Lopes University Hospital, Natal, Brazil"
NCT02582177,Ache Laboratorios Farmaceuticos S.A.,"Centro de Pesquisa Clínica - CPEC / Associação Obras Sociais Irmã Dulce, Salvador, Brazil; Centro de Pesquisa Clínica do IMIP, Recife, Brazil; Allergisa Pesquisa Dermato Cosmética Ltda., Campinas, Brazil; Scentryphar Pesquisa Clínica, Campinas, Brazil; Sociedade Campineira de Educação e Instrução - Centro de Pesquisa Clínica São Lucas - PUCCAMP, Campinas, Brazil; Centro de Estudos Multidisciplinar CEPES da Faculdade de Medicina do ABC, Santo André, Brazil; Centro Integrado de Pesquisa - CIP, São José do Rio Preto, Brazil; CDEC Brasil - Centro de Desenvolvimento em Estudo Clínicos Brasil / AFIP-Associação Fundo de Incentivo à pesquisa), São Paulo, Brazil; Centro de Pesquisa Clínica - HSM (Hospital Santa Marcelina), São Paulo, Brazil"
NCT00910377,Hospital de Clinicas de Porto Alegre,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT05719857,Universidade Federal do Rio de Janeiro,"Hospital Universitário Clementino Fraga Filho / Universidade Federal do Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil"
NCT01252407,Federal University of Health Science of Porto Alegre,"Rodrigo Della Méa Plentz, Porto Alegre, Brazil"
NCT01886430,University of Sao Paulo General Hospital,"Instituto do Coração - HC/FMUSP, São Paulo, Brazil"
NCT02489565,Hospital de Clinicas de Porto Alegre,"Instituto de Avaliação de Tecnologia em Saúde (Institute of Technology Assessment in Health), Porto Alegre, Brazil"
NCT01546207,Vivek Reddy,"Hospital Regional Sao Jose, Santa Catarina, Brazil"
NCT01240044,University of the State of Santa Catarina,"Maternidade Carmela Dutra Hospital, Florianópolis, Brazil"
NCT03039244,University of Sao Paulo,"Mariana Sales, Ribeirão Preto, Brazil"
NCT05886387,Instituto de Investigacion Sanitaria La Fe,"Hospital Israelita Albert Einstein, São Paulo, Brazil"
NCT02073721,Universidade Gama Filho,"Federal Hospital Servants of the State of Rio de Janeiro, Rio de Janeiro, Brazil"
NCT03914326,Novo Nordisk A/S,"Hospital do Coração do Brasil, Brasília, Brazil; Cline Research Center, Curitiba, Brazil; Quanta Diagnóstico Nuclear / Medicina Nuclear Alto da XV, Curitiba, Brazil; Hospital São Vicente de Paulo, Passo Fundo, Brazil; Instituto de Pesquisa Clínica de Campinas, Campinas, Brazil; i9 Pesquisas Clínicas, Campinas, Brazil; Instituto de Pesquisa Clinica (IPEC), São Paulo, Brazil; CPQuali Pesquisa Clínica Ltda, São Paulo, Brazil; CPCLIN - Centro de Pesquisas Clínicas, São Paulo, Brazil"
NCT04545840,Neodent,"Instituto Latino Americano de Pesquisa e Ensino Odontológico (ILAPEO), Curitiba, Brazil"
NCT01246089,Instituto de Olhos de Goiania,"Instituto de Olhos de Goiania, Goiânia, Brazil"
NCT05052307,Hospital Moinhos de Vento,"Pronto Atendimento Municipal de Toledo, Toledo, Brazil; Unidade Básica de Saúde Jardim Cosmos, Toledo, Brazil; Unidade de Pronto Atendimento Pediátrico Dr. José Ivo Alves da Rocha, Toledo, Brazil"
NCT00843232,"University of Campinas, Brazil","LIMED (Laboratory of Investigation of Metabolism and Diabetes)/GASTROCENTRO/Univeristy of Campinas (UNICAMP), Campinas, Brazil"
NCT05639114,Novartis Pharmaceuticals,"Novartis Investigative Site, Vitória, Brazil; Novartis Investigative Site, Salvador, Brazil; Novartis Investigative Site, Brasília, Brazil; Novartis Investigative Site, Belo Horizonte, Brazil; Novartis Investigative Site, Curitiba, Brazil; Novartis Investigative Site, Niterói, Brazil; Novartis Investigative Site, Rio de Janeiro, Brazil; Novartis Investigative Site, Natal, Brazil; Novartis Investigative Site, Barretos, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, Salvador, Brazil"
NCT05949684,Bristol-Myers Squibb,"Hospital Universitario Walter Cantidio, Fortaleza, Brazil; Hospital São Lucas da PUCRS, Porto Alegre, Brazil; HEMORIO, Rio de Janeiro, Brazil; Hospital das Clinicas FMUSP, São Paulo, Brazil"
NCT03532984,University Medical Center Groningen,"School of Physical Education and Sport of Ribeirão Preto, São Paulo, Brazil"
NCT00358943,"Genzyme, a Sanofi Company","Hospital das Clínicas da Universidade Federal do Paraná - HCUFPR- Site Number : 076010, Curitiba, Brazil; Hospital de Clinicas de Porto Alegre- Site Number : 076007, Porto Alegre, Brazil; Hospital e Maternidade Celso Pierro - PUC-Campinas- Site Number : 076012, Campinas, Brazil; Hospital das Clinicas da Faculdade de Medicina de Ribeirao Preto- Site Number : 076001, Ribeirão Preto, Brazil; Faculdade De Medicina - Unicamp- Site Number : 076005, Campinas, Brazil; HEMORIO- Site Number : 076006, Rio de Janeiro, Brazil; Instituto de Genética e Erros Inatos do Metabolismo- Site Number : 076002, São Paulo, Brazil; Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo- Site Number : 076008, São Paulo, Brazil"
NCT02128633,Universidade Federal de Santa Maria,"Fabricio Batistin Zanatta, Santa Maria, Brazil"
NCT04942158,University of Sao Paulo,"Iguaçu University, Itaperuna, Brazil; Rio de Janeiro State University, Rio de Janeiro, Brazil; Santa Catarina Federal University, Florianópolis, Brazil; School of Dentistry, University of Sao Paulo, São Paulo, Brazil"
NCT02926885,Nucleo De Pesquisa E Desenvolvimento De Medicamentos Da Universidade Federal Do Ceara,"Nucleo de Pesquisa e Desenvolvimento da Universidade Federal do Ceara, Fortaleza, Brazil"
NCT01912885,University of Sao Paulo General Hospital,"Gynecology Ambulatory of the General Hospital of the Faculty of Medicine of the University of Sao Paulo, São Paulo, Brazil"
NCT01338025,International Maternal Pediatric Adolescent AIDS Clinical Trials Group,"Hospital Geral De Nova Igaucu Brazil NICHD CRS (5097), Rio de Janeiro, Brazil; Insituto de Infectologia Emilio Ribas NICHD CRS (5075), São Paulo, Brazil; Univ of Sao Paulo Brazil NICHD CRS (5074), São Paulo, Brazil"
NCT01546974,Hospital Sao Domingos,"Hospital Sao Domingos, São Luís, Brazil"
NCT02441374,University of Sao Paulo,"Tamyris Padovani dos Santos, Ribeirão Preto, Brazil"
NCT00696436,Takeda,", Belo Horizonte, Brazil; , Campinas, Brazil; , Fortaleza, Brazil; , Goiaenia, Brazil; , Joildille, Brazil; , Porto Alegre, Brazil; , Rio Janeiro, Brazil; , São Paulo, Brazil; , Sorocava, Brazil"
NCT01823744,Société des Produits Nestlé (SPN),"Campus Universitário USP, Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto, Ribeirão Preto, Brazil"
NCT02008344,"MDVI, LLC",", Belo Horizonte, Brazil; , Juiz de Fora, Brazil; , Curitiba, Brazil; , Passo Fundo, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil; , Campinas, Brazil; , Santo André, Brazil; , Santo André, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , Brasília, Brazil"
NCT05296798,Hoffmann-La Roche,"Pronutrir - suporte nutricional e quimioterapia ltda., Fortaleza, Brazil; Hospital Sao Rafael - HSR, Salvador, Brazil; Hospital Araujo Jorge, Goiânia, Brazil; Hospital do Câncer de Londrina, Londrina, Brazil; Hospital do Cancer de Pernambuco - HCP, Recife, Brazil; Oncosite - Centro de Pesquisa Clinica Em Oncologia Ltda, Ijuí, Brazil; Hospital Nossa Senhora da Conceicao, Porto Alegre, Brazil; Hospital de Amor Amazônia, Porto Velho, Brazil; Fundação Pio XII Hospital de Câncer de Barretos, Barretos, Brazil; Instituto do Cancer do Estado de Sao Paulo - ICESP, São Paulo, Brazil; Clinica de Pesquisa e Centro de Estudos em Oncologia Ginecologica e Mamaria Ltda, São Paulo, Brazil"
NCT06758206,Federal University of Vicosa,"Universidade Federal de Viçosa, Viçosa, Brazil; Federal University of Viçosa, Viçosa - Minas Gerais, Viçosa, Brazil"
NCT05790915,Hospital Sao Domingos,"Hospital Sao Domingos, São Luís, Brazil"
NCT01813435,ECRI bv,"Research centre Rio de Janeiro, 5503, Rio de Janeiro, Brazil; Research centre Rio de Janeiro, 5504, Rio de Janeiro, Brazil; Research centre Sao Paulo, 5501, São Paulo, Brazil; Research centre Sao Paulo, 5502, São Paulo, Brazil; Research centre Uberlândia, 5505, Uberlândia, Brazil"
NCT00244725,GlaxoSmithKline,"GSK Investigational Site, Porto Alegre, Brazil; GSK Investigational Site, Porto Alegre, Brazil"
NCT02662465,Universidade Federal do Rio Grande do Norte,"Universidade Federal do Rio Grande do Norte, Natal, Brazil"
NCT00768300,Gilead Sciences,", São Paulo, Brazil; , Belo Horizonte, Brazil; , Florianópolis, Brazil; , Goiânia, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil; , Rio de Janeiro, Brazil; , Santo André, Brazil"
NCT01971034,Instituto do Cancer do Estado de São Paulo,"ICESP, São Paulo, Brazil"
NCT04590963,AstraZeneca,"Research Site, Belo Horizonte, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Rio de Janeiro, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil"
NCT01204593,Sanofi,"Investigational Site Number 076-007, Curitiba, Brazil; Investigational Site Number 076-003, Distrito Federal, Brazil; Investigational Site Number 076-010, Fortaleza, Brazil; Investigational Site Number 076-006, Marília, Brazil; Investigational Site Number 076-004, Porto Alegre, Brazil; Investigational Site Number 076-002, São Paulo, Brazil"
NCT04835233,Federal University of Paraíba,"UFPB Paraíba Federal University, João Pessoa, Brazil"
NCT01409408,Hospital Universitario Pedro Ernesto,"Hospital Universitario Pedro Ernesto, Rio de Janeiro, Brazil"
NCT06245408,Amgen,"SER - Serviços Especializados em Reumatologia da Bahia S/S - ME, Salvador, Brazil; Irmandade da Santa Casa de Misericórdia de Belo Horizonte - PPDS, Belo Horizonte, Brazil; Centro de Estudos em Terapias Inovadoras, Curitiba, Brazil; LMK Servicos Medicos SS, Porto Alegre, Brazil"
NCT05081687,Hospital Israelita Albert Einstein,"Hospital Municipal Vila Santa Catarina, São Paulo, Brazil"
NCT05139316,Ultragenyx Pharmaceutical Inc,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT01753804,BioMarin Pharmaceutical,"Hospital das Clinicas da Faculdade de Medicina da USP, São Paulo, Brazil"
